Url,Incorrect,Correct,Suggestion,Label
3-cases-of-complicated-hyphenation.html, The Medal of Honor winning Navy SEAL described the rescue.," “The Medal of Honor–winning Navy SEAL described the rescue.” The distinction is obscure, but that’s the right way to do it. Alternatively, relax the syntax of the sentence so that neither a hyphen nor a “superhyphen” is required: “The Navy SEAL, who won a Medal of Honor, described the rescue.”","Here, the noun to be modified is the noun phrase “Navy SEAL,” and the adjectival phrase is “Medal of Honor winning.” There should be a hyphen there somewhere, you think, but where? And because “Medal of Honor” consists of more than one word, shouldn’t multiple hyphens be deployed?, but it’s not a hyphen. Here, use an en dash, a superhyphen of sorts", - Complicated Hyphenation
3-cases-of-complicated-hyphenation.html," What made him leave his comfortable, high-paying position as head of an Asia Pacific-wide sales team?"," “What made him leave his comfortable, high-paying position as head of an Asia-Pacific-wide sales team?”","In this sentence, “high-paying” is correctly hyphenated to modify But there’s a complication here. “Asia-Pacific” is the label for a region of the world (though its parameters are imprecise). Because the hyphen comes along with the phrase, in this instance, the reference should be hyphenated as shown here", - Complicated Hyphenation
3-cases-of-complicated-hyphenation.html," With a quarter billion dollar industry possible, there is a real possibility of supporting the community in a new manner."," “With a quarter-billion-dollar industry possible, there is a real possibility of supporting the community in a new manner.”","The phrase “quarter billion dollar industry” includes a phrasal adjective followed by a noun, so at least one hyphen is required. But the three words in the complex phrasal adjective “quarter billion dollar” should be connected", - Complicated Hyphenation
3-cases-of-complicated-parenthetical-punctuation.html," Consumers have the right to speak out or complain, and to seek compensation—payment or a replacement item—or redress—have a wrong corrected."," “Consumers have the right to speak out or complain, and to seek compensation (payment or a replacement item) or redress (have a wrong corrected).”","Here, the use of dashes to set off a pair of parenthetical phrases confuses the reader’s eye; use mirror-image parenthetical marks instead for a clearer picture of the sentence’s syntactical organization", - Complicated Parenthetical Punctuation
3-cases-of-complicated-parenthetical-punctuation.html," They had an unwavering belief that they simply could not—or maybe more accurately stated, would not—be defeated."," “They had an unwavering belief that they simply could not—or, maybe more accurately stated, would not—be defeated.”","Because “maybe more accurately stated” is a parenthesis within a parenthesis, a comma must precede as well as follow it", - Complicated Parenthetical Punctuation
3-cases-of-complicated-parenthetical-punctuation.html," If thorough controls are not in place, over time, as updates and changes are made to your environment, conflicts are likely to arise, posing varying levels of risk to your business and ultimately forcing you to revisit your design."," “If thorough controls are not in place, as updates and changes are made to your environment over time, conflicts are likely to arise, posing varying levels of risk to your business and ultimately forcing you to revisit your design.”","The number of commas in this sentence is excessive; when the phrase “over time” and the rest of the parenthetical phrase (ending with ) is transposed, the comma between them becomes extraneous and the sentence structure is clearer", - Complicated Parenthetical Punctuation
3-cases-of-confused-connections.html," Despite encouragement from regulators, financial institutions experience mixed results ranging from prompt responses to requests, at best, to requests that are never addressed, at worst. "," “Despite encouragement from regulators, financial institutions experience mixed results ranging from, at best, prompt responses to requests to, at worst, requests that are never addressed.”","Here, though the sentence’s parallel structure is sound, clarity is improved if the parenthetical phrases “at best” and “at worst” precede rather than follow the pertinent wording so that the reader knows before the fact, not belatedly, that a scaled comparison of results, not just random examples of them, are being introduced", - Confused Connections
3-cases-of-confused-connections.html," Once executive management and the board agree on the drivers of, and strategic, operational, and financial parameters around, opportunity-seeking behavior, the resulting risk-appetite statement is a reminder of the core risk strategy arising from the strategy-setting process."," “Once executive management and the board agree on the drivers of opportunity-seeking behavior and the strategic, operational, and financial parameters around it, the resulting risk-appetite statement is a reminder of the core risk strategy arising from the strategy-setting process.”","This sentence is technically correct, but the complexity of the parenthetical phrase “and the strategic, operational, and financial parameters around,” and the distance it places between the parallel phrase “drivers of” and the phrase “the resulting risk-appetite statement,” which applies to both parallel phrases, renders the sentence difficult to digest. A better solution is to relocate the second parallel phrase to follow the key phrase, introducing a more complete portion of the main clause before the interruption and reducing the number of commas", - Confused Connections
3-cases-of-confused-connections.html," Even though the program contains all the same components, the level of rigor and detail, and the amount of automation through workflow, changes with the size and risk profile of the company."," “Even though the program contains all the same components, the level of rigor and detail—and the amount of automation through workflow—changes with the size and risk profile of the company.”","Readers may get the impression that the phrases “the same components,” “the level and rigor and detail,” and “the amount of automation through workflow” are parallel elements of a list. But “the same components” is part of an introductory subordinate clause, and the second and third phrases constitute a complex subject of the sentence. To make the sentence clearer by breaking up the false list, recast the final phrase as a parenthetical", - Confused Connections
3-cases-of-dangling-modifiers.html," While not intended to be all-inclusive, the committee recommends that its suggestions be carefully considered as potential opportunities."," “While the committee’s suggestions are not intended to be all-inclusive, it recommends that they be carefully considered as potential opportunities.”","As written, the modifying phrase implies that the committee is not intended to be all-inclusive, but it is the committee’s suggestions that do not have this intention. To fix the problem, explicitly refer to the suggestions in the modifying phrase", - Dangling Modifiers
3-cases-of-dangling-modifiers.html," Like any major movie-franchise arrival, your TV, computer, and any other even tangentially pop culture–related technology will be inundated with publicity about the upcoming Star Trek film."," “As is the case with any major movie-franchise arrival, your TV, computer, and any other even tangentially pop culture–related technology will be inundated with publicity about the upcoming Star Trek film.”",This sentence erroneously compares technological devices to films. This revision restates the comparison as being between “any major movie-franchise arrival” and “the upcoming Star Trek film”, - Dangling Modifiers
3-cases-of-dangling-modifiers.html," As a convert to Judaism, I imagine that you are familiar with Jewish teachings on compassionate speech as well as the teaching that children are not responsible for sins of their fathers."," “I imagine that you, as a convert to Judaism, are familiar with Jewish teachings on compassionate speech as well as the teaching that children are not responsible for sins of their fathers.”","Here, the writer identifies himself or herself as a convert to Judaism, but the writer’s intent to point out that the reader is the convert. The revision recasts the sentence so that the reference to conversion follows and therefore refers to the third-person pronoun rather than preceding the first-person pronoun and, as a result, implying that the writer is the convert", - Dangling Modifiers
